no,ft
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.46
12,1.91
13,5.05
14,10.49
15,17.8
16,25.59
17,32.12
18,36.43
19,38.58
20,39.25
21,38.8
22,37.98
23,37.35
24,37.28
25,38.02
26,39.22
27,40.34
28,40.91
29,40.92
30,40.56
31,40.09
32,39.31
33,38.04
34,36.47
35,34.88
36,33.56
37,32.6
38,31.96
39,31.3
40,30.37
41,29.28
42,28.36
43,28.0
44,28.1
45,28.51
46,29.02
47,29.62
48,30.32
49,31.28
50,32.51
51,33.89
52,35.21
53,36.14
54,36.65
55,36.78
56,36.71
57,36.56
58,36.25
59,35.75
60,35.11
61,34.4
62,33.71
63,33.04
64,32.38
65,31.78
66,31.22
67,30.78
68,30.46
69,30.24
70,30.2
71,30.35
72,30.56
73,30.7
74,30.7
75,30.52
76,30.2
77,29.8
78,29.42
79,29.06
80,28.7
81,28.27
82,27.7
83,27.01
84,26.38
85,26.0
86,25.87
87,25.85
88,25.72
89,25.32
90,24.74
91,24.2
92,23.87
93,23.71
94,23.68
95,23.69
96,23.77
97,23.94
98,24.24
99,24.58
100,24.77
101,24.78
102,24.68
103,24.48
104,24.2
105,23.87
106,23.52
107,23.14
108,22.76
109,22.48
110,22.36
111,22.38
112,22.5
113,22.64
114,22.75
115,22.85
116,23.04
117,23.34
118,23.69
119,23.88
120,23.73
121,23.19
122,22.42
123,21.68
124,21.32
125,21.36
126,21.57
127,21.65
128,21.44
129,21.03
130,20.62
131,20.41
132,20.37
133,20.42
134,20.42
135,20.3
136,20.02
137,19.77
138,19.62
139,19.62
140,19.68
141,19.69
142,19.5
143,19.06
144,18.4
145,17.63
146,17.02
147,16.66
148,16.62
149,16.8
150,17.06
151,17.26
152,17.32
153,17.26
154,17.16
155,17.1
156,17.04
157,17.0
158,16.87
159,16.67
160,16.42
161,16.12
162,15.91
163,15.81
164,15.82
165,15.86
166,15.82
167,15.64
168,15.43
169,15.23
170,15.15
171,15.16
172,15.18
173,15.14
174,15.02
175,14.92
176,15.0
177,15.34
178,15.86
179,16.4
180,16.67
181,16.66
182,16.42
183,16.18
184,16.1
185,16.22
186,16.4
187,16.48
188,16.4
189,16.24
190,16.2
191,16.41
192,16.87
193,17.41
194,17.8
195,17.96
196,17.84
197,17.58
198,17.38
199,17.34
200,17.5
201,17.81
202,18.07
203,18.2
204,18.17
205,18.05
206,18.05
207,18.24
208,18.6
209,18.95
210,19.13
211,19.05
212,18.84
213,18.64
214,18.61
215,18.9
216,19.43
217,19.98
218,20.25
219,20.1
220,19.75
221,19.49
222,19.52
223,19.8
224,20.13
225,20.34
226,20.34
227,20.18
228,20.04
229,20.12
230,20.4
231,20.69
232,20.72
233,20.45
234,20.1
235,19.88
236,19.94
237,20.24
238,20.54
239,20.64
240,20.48
241,20.21
242,19.94
243,19.73
244,19.6
245,19.63
246,19.8
247,20.1
